@relation allinone

@attribute 'Time (Hour)' numeric
@attribute virulence numeric
@attribute 'patient precondition' numeric
@attribute 'Viral Load' numeric
@attribute 'Inflamatory (M1) Alveolar Macrophages' numeric
@attribute IL6 numeric
@attribute 'Active Adaptive Immune System' numeric
@attribute 'Immunosupressed (M2) Alveolar macrophages' numeric
@attribute 'Resting Alveolar Macrophages' numeric
@attribute 'Delayed IL6' numeric
@attribute 'Un-Infected Lung Tissue' numeric
@attribute 'Infected Lung Tissue' numeric
@attribute 'Destroyed Lung Tissue' numeric
@attribute 'Interferon Strength' numeric
@attribute PAMPs numeric
@attribute 'Resting Adaptive Immune System' numeric
@attribute TcellInterferon numeric

@data
87,1,0,25.1139,0.223554,0.020606,6.58821,14.477,4998.3,0.013683,9715.49,365.017,853.61,25379.5,615.656,0.869244,0.46022
88,1,0,25.7967,0.238516,0.022006,6.56904,14.5888,4998.17,0.014675,9542.17,368.44,865.396,26109.5,637.691,0.85548,0.462206
89,1,0,26.4847,0.254283,0.023482,6.5514,14.7081,4998.04,0.015728,9367.33,371.525,876.537,26846.4,660.3,0.84027,0.464153
90,1,0,27.1771,0.270881,0.025039,6.53543,14.8352,4997.89,0.016845,9191.14,374.261,886.992,27589.5,683.483,0.82348,0.466063
91,1,0,27.8734,0.288332,0.026678,6.52127,14.9707,4997.74,0.018028,9013.79,376.636,896.724,28338,707.242,0.804966,0.467937
92,1,0,28.5726,0.306661,0.028402,6.50906,15.1148,4997.58,0.019281,8835.48,378.641,905.697,29091.3,731.58,0.784574,0.469779
93,1,0,29.2739,0.32589,0.030213,6.49895,15.2682,4997.41,0.020606,8656.39,380.267,913.878,29848.5,756.494,0.762139,0.471591
94,1,0,29.9766,0.346038,0.032114,6.4911,15.4311,4997.22,0.022006,8476.72,381.508,921.236,30609.1,781.986,0.737486,0.473374
95,1,0,30.6798,0.367125,0.034106,6.48571,15.6041,4997.03,0.023482,8296.68,382.359,927.743,31372.1,808.052,0.710426,0.475131
96,1,0,31.3827,0.389169,0.036191,6.48295,15.7877,4996.82,0.025039,8116.46,382.817,933.374,32136.8,834.692,0.68076,0.476865
97,1,0,32.0844,0.412185,0.038372,6.48302,15.9823,4996.61,0.026678,7936.26,382.879,938.107,32902.4,861.901,0.648277,0.47858
98,1,0,32.784,0.436188,0.040649,6.48613,16.1884,4996.38,0.028402,7756.29,382.546,941.925,33668.2,889.676,0.61275,0.480277
99,1,0,33.4808,0.461188,0.043025,6.4925,16.4065,4996.13,0.030213,7576.74,381.819,944.813,34433.3,918.012,0.573944,0.48196
100,1,0,34.1737,0.487196,0.0455,6.50238,16.637,4995.88,0.032114,7397.8,380.702,946.76,35196.9,946.902,0.531606,0.483633
101,1,0,34.8621,0.514219,0.048076,6.516,16.8806,4995.6,0.034106,7219.68,379.2,947.759,35958.3,976.342,0.485474,0.485299
102,1,0,35.545,0.542262,0.050753,6.53362,17.1378,4995.32,0.036191,7042.56,377.319,947.807,36716.7,1006.32,0.435268,0.486962
103,1,0,36.2216,0.571328,0.053532,6.55552,17.4089,4995.02,0.038372,6866.62,375.068,946.906,37471.4,1036.84,0.380699,0.488626
104,1,0,36.8911,0.606355,0.056412,6.58198,17.6896,4994.7,0.040649,6692.05,372.456,945.058,38221.5,1067.87,0.321462,0.490296
105,1,0,37.5524,0.656927,0.059791,6.61382,17.9709,4994.37,0.043025,6519.01,369.493,942.275,38966.4,1099.42,0.256711,0.491975
106,1,0,38.2044,0.717433,0.064512,6.65298,18.2587,4994.02,0.0455,6347.68,366.193,938.566,39705.4,1131.48,0.184487,0.493669
107,1,0,38.8457,0.785585,0.070297,6.70089,18.556,4993.66,0.048076,6178.21,362.564,933.949,40437.8,1164.03,0.10331,0.495385
108,1,0,39.4755,0.860475,0.076906,6.75883,18.8641,4993.28,0.050753,6010.76,358.618,928.441,41162.9,1197.05,0.011866,0.497132
109,1,0,40.0926,0.9418,0.084219,6.82804,19.1838,4992.87,0.053532,5845.49,354.369,922.062,41880.2,1230.54,-0.091137,0.498919
110,1,0,40.6961,1.02953,0.092188,6.90979,19.5155,4992.46,0.056412,5682.52,349.832,914.834,42588.9,1264.48,-0.20703,0.500758
111,1,0,41.285,1.12378,0.1008,7.00543,19.8596,4992.02,0.059791,5522,345.022,906.784,43288.6,1298.86,-0.337212,0.502661
112,1,0,41.8585,1.22707,0.110063,7.11636,20.2139,4991.56,0.064512,5364.05,339.956,897.938,43978.6,1333.65,-0.483176,0.504639
113,1,0,42.4154,1.34582,0.120178,7.24443,20.5725,4991.08,0.070297,5208.78,334.652,888.328,44658.5,1368.84,-0.646824,0.506709
114,1,0,42.9545,1.48233,0.131702,7.39243,20.9335,4990.58,0.076906,5056.3,329.127,877.989,45327.8,1404.41,-0.831045,0.508887
115,1,0,43.4743,1.63682,0.144926,7.56365,21.2969,4990.07,0.084219,4906.71,323.397,866.955,45986.1,1440.34,-1.03922,0.51119
116,1,0,43.9736,1.80903,0.159931,7.76158,21.6633,4989.53,0.092188,4760.1,317.48,855.262,46632.9,1476.61,-1.27498,0.513642
117,1,0,44.4509,1.99872,0.176709,7.9899,22.0333,4988.97,0.1008,4616.54,311.39,842.95,47267.8,1513.2,-1.54211,0.516267
118,1,0,44.9049,2.2058,0.195239,8.2524,22.4072,4988.39,0.110063,4476.11,305.144,830.055,47890.6,1550.09,-1.84455,0.519094
119,1,0,45.3342,2.43033,0.215512,8.55306,22.785,4987.78,0.120178,4338.89,298.758,816.616,48500.9,1587.24,-2.18647,0.522156
120,1,0,45.7374,2.67305,0.237529,8.89604,23.1663,4987.16,0.131702,4204.91,292.249,802.671,49098.4,1624.64,-2.57223,0.525487
121,1,0,46.1132,2.93608,0.261349,9.28584,23.549,4986.52,0.144926,4074.24,285.633,788.262,49682.9,1662.26,-3.0065,0.529128
122,1,0,46.4601,3.22157,0.287156,9.72746,23.931,4985.85,0.159931,3946.92,278.926,773.426,50254.2,1700.06,-3.49455,0.533123
123,1,0,46.7767,3.53098,0.315157,10.2265,24.3107,4985.16,0.176709,3822.97,272.145,758.204,50812,1738.02,-4.04224,0.537519
124,1,0,47.0612,3.86511,0.34551,10.7891,24.6875,4984.45,0.195239,3702.42,265.305,742.636,51356.3,1776.1,-4.65593,0.542371
125,1,0,47.3121,4.22428,0.378311,11.4216,25.0607,4983.71,0.215512,3585.29,258.42,726.761,51886.9,1814.28,-5.34241,0.547736
126,1,0,47.5277,4.60846,0.413604,12.1309,25.4303,4982.96,0.237529,3471.6,251.503,710.619,52403.8,1852.53,-6.10882,0.55368
127,1,0,47.7065,5.01745,0.451398,12.924,25.7961,4982.19,0.261349,3361.34,244.569,694.247,52906.8,1890.79,-6.96254,0.560274
